id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label
5962,6 (> 15K),volvo,2013,72570,114,stationwagon,zwart,diesel,Automaat,5,4,1560,1503,13.2,180,5,15,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5963,3 (2K-5K),volkswagen,1997,225093,90,cabriolet,zwart,benzine,Automaat,2,4,1781,1168,15,168,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5964,4 (5K-10K),volkswagen,2010,76527,105,hatchback,rood,benzine,Handgeschakeld,5,0,1197,988,97,0,5,28,Euro5,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5965,6 (> 15K),lotus,2004,86681,242,cabriolet,rood,benzine,Handgeschakeld,2,4,1796,760,6,200,2,81,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5967,5 (10K-15K),volkswagen,2012,131400,105,hatchback,grijs,benzine,Handgeschakeld,4,4,1197,1135,99.9,0,5,18,Euro5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5969,4 (5K-10K),opel,2011,145668,120,mpv,bruin,benzine,Handgeschakeld,4,4,1364,1293,99.9,188,5,47,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5970,1 (< 1K),daewoo,2002,153270,52,hatchback,groen,benzine,Handgeschakeld,5,3,796,751,17.6,144,5,64,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5971,5 (10K-15K),ford,2015,15175,67,hatchback,blauw,benzine,Handgeschakeld,5,3,998,955,17,155,5,266,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5972,4 (5K-10K),peugeot,2012,59397,68,hatchback,zilver,benzine,Handgeschakeld,4,3,998,0,99.9,157,4,7,Euro5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5974,4 (5K-10K),opel,2015,81484,120,mpv,zwart,benzine,Handgeschakeld,5,4,1364,1293,11.3,188,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5976,4 (5K-10K),audi,2005,296308,176,sedan,zwart,benzine,Automaat,4,6,2393,1530,0,0,0,139,Euro4,0,0,0,0,0,0,0,0,0,1,1,1,0,0
5977,5 (10K-15K),seat,2014,108376,150,hatchback,zwart,diesel,Handgeschakeld,3,4,1968,1185,8,215,5,10,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5979,1 (< 1K),volkswagen,2000,186412,90,hatchback,rood,diesel,Handgeschakeld,5,4,1896,1159,99.9,0,5,42,Euro2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5980,1 (< 1K),volvo,1997,408420,140,stationwagon,groen,diesel,Handgeschakeld,5,5,2460,1538,10.2,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5982,4 (5K-10K),renault,2008,32914,75,mpv,beige,benzine,Handgeschakeld,5,4,1200,1125,99.9,0,5,44,Euro4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5983,6 (> 15K),volkswagen,2011,60674,122,hatchback,wit,benzine,Handgeschakeld,5,0,1390,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
5984,3 (2K-5K),seat,2004,137979,75,hatchback,grijs,benzine,Handgeschakeld,3,4,1390,1003,13.2,173,5,60,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5985,3 (2K-5K),lancia,1997,197500,204,coupe,groen,benzine,0,2,6,2959,1490,9.8,220,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5986,1 (< 1K),volvo,1998,274053,116,stationwagon,zwart,benzine,Automaat,4,4,1731,1295,99.9,0,5,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5987,3 (2K-5K),ford,2008,174997,80,mpv,zwart,benzine,Handgeschakeld,5,4,1388,1056,13.7,163,5,58,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5988,3 (2K-5K),fiat,2007,169925,77,hatchback,grijs,benzine,Handgeschakeld,5,4,1368,1015,13,165,5,38,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5990,3 (2K-5K),peugeot,2008,142210,75,hatchback,grijs,benzine,Handgeschakeld,3,4,1360,925,12.2,170,5,56,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5991,6 (> 15K),volvo,2014,178682,114,stationwagon,grijs,diesel,Handgeschakeld,5,4,1560,0,0,190,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
5992,6 (> 15K),mercedes-benz,2014,73307,184,coupe,wit,benzine,Automaat,2,4,1991,1515,8,240,4,44,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5993,1 (< 1K),ford,2000,110331,60,hatchback,blauw,benzine,Handgeschakeld,2,4,1299,865,15.4,155,4,67,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5994,1 (< 1K),peugeot,2001,188799,60,hatchback,grijs,benzine,Handgeschakeld,3,4,1124,790,14.9,164,5,49,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5995,3 (2K-5K),seat,2012,92605,60,hatchback,zwart,benzine,Handgeschakeld,5,3,999,829,14.4,161,4,9,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5996,2 (1K-2K),ford,1998,245353,90,hatchback,grijs,diesel,Handgeschakeld,5,4,1753,1270,0,0,5,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
5998,4 (5K-10K),seat,2010,107333,92,hatchback,wit,benzine,Handgeschakeld,4,4,1398,950,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
5999,3 (2K-5K),mg,2000,102085,120,cabriolet,grijs,benzine,Handgeschakeld,2,4,1796,1050,9.2,193,2,82,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,1 (< 1K),chrysler,2001,183000,0,sedan,blauw,benzine,Handgeschakeld,4,0,0,0,0,0,0,1,Euro3,1,0,0,0,0,0,1,1,1,1,1,1,0,0
6001,3 (2K-5K),opel,2008,173049,0,hatchback,grijs,diesel,Handgeschakeld,5,0,0,1135,99.9,0,5,23,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
6002,1 (< 1K),renault,2007,191752,59,hatchback,wit,benzine,Handgeschakeld,3,4,1149,795,13.7,151,4,42,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,6 (> 15K),mercedes-benz,2007,249000,224,sedan,wit,diesel,Automaat,4,6,2987,1600,0,0,0,99,Euro4,0,0,0,0,0,0,0,0,0,1,1,1,0,0
6005,3 (2K-5K),renault,2002,167228,80,mpv,groen,diesel,Handgeschakeld,5,4,1870,1265,0,0,5,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
6006,3 (2K-5K),volvo,2004,232900,123,stationwagon,grijs,benzine,Handgeschakeld,5,4,1783,1255,99.9,200,0,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6008,2 (1K-2K),renault,1998,164596,109,coupe,geel,benzine,Handgeschakeld,2,0,1998,1020,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
6009,4 (5K-10K),mg,2002,105907,136,cabriolet,beige,benzine,Handgeschakeld,2,4,1796,1050,8.8,205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6011,4 (5K-10K),fiat,2013,30000,69,0,beige,benzine,Handgeschakeld,0,4,1200,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1
6012,2 (1K-2K),renault,2003,115496,107,mpv,grijs,benzine,Automaat,5,4,1598,1255,13.8,180,5,1,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6013,3 (2K-5K),mercedes-benz,1996,236748,122,sedan,rood,benzine,0,4,4,1799,1265,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
